,description,type,sample,totalcount,entropy,tcrcovidmatch,tcrcovidfreq
Covid_PT084_CD4,Covid_PT084,CD4,107,45718,0.9365822040861407,0.0008093092436239556,0.0007827709108747307
Covid_PT084_CD8,Covid_PT084,CD8,108,172,0.7650467705212791,0.0,0.0
Covid_PT088_CD4,Covid_PT088,CD4,109,101209,0.9476875783826194,0.0008596073471726823,0.0008544569725301348
Covid_PT088_CD8,Covid_PT088,CD8,110,251,0.6591199217469509,0.0,0.0
Covid_PT091_CD4,Covid_PT091,CD4,111,81,0.8222370109149847,0.0,0.0
Covid_PT091_CD8,Covid_PT091,CD8,112,120,0.7626855958282157,0.0,0.0
Covid_PT102_CD4,Covid_PT102,CD4,113,108901,0.8869878494873485,0.0007070642142863702,0.0006950587761999136
Covid_PT102_CD8,Covid_PT102,CD8,114,61205,0.6948972123474099,0.001290744220243444,0.0005893684253427466
Covid_PT112_CD4,Covid_PT112,CD4,115,75,0.784672526178615,0.0,0.0
Covid_PT112_CD8,Covid_PT112,CD8,116,14997,0.789399775930627,0.0008668400346736014,0.0004755780617764081
Covid_PT115_CD4,Covid_PT115,CD4,117,8838,0.9464884484486059,0.0005657388549445576,0.0006809135647889618
Covid_PT115_CD8,Covid_PT115,CD8,118,6687,0.8313775625817166,0.0010468072379243307,0.0007108354172686889
Covid_PT117_CD4,Covid_PT117,CD4,119,7604,0.9100378806096968,0.0010520778537611783,0.0015284914283500532
Covid_PT117_CD8,Covid_PT117,CD8,120,2452,0.8175860546095535,0.0008156606851549756,0.0014662177506146272
Covid_PT118_CD4,Covid_PT118,CD4,121,12555,0.9378102028064108,0.00039824771007566706,0.00047839388522439793
Covid_PT118_CD8,Covid_PT118,CD8,122,5789,0.6358709796178923,0.0012091898428053204,0.0005175546614755164
Covid_PT124_CD4,Covid_PT124,CD4,123,21,0.8839656574390861,0.0,0.0
Covid_PT124_CD8,Covid_PT124,CD8,124,14126,0.8016668164236281,0.0014158289678606825,0.0007645283581764387
Covid_PT125_CD4,Covid_PT125,CD4,125,120,0.7287376343482639,0.0,0.0
Covid_PT125_CD8,Covid_PT125,CD8,126,182,0.8117579171013192,0.005494505494505495,0.0005534544783691266
Covid_PT131_CD4,Covid_PT131,CD4,127,195,0.8375663022821266,0.0,0.0
Covid_PT131_CD8,Covid_PT131,CD8,128,15919,0.8778888509687323,0.0012563603241409636,0.0006231631804093074
Covid_PT132_CD4,Covid_PT132,CD4,129,2202,0.653347026600919,0.00045413260672116256,0.0001077051127207153
Covid_PT132_CD8,Covid_PT132,CD8,130,18784,0.6288862490596182,0.0015971039182282793,0.0004248815992623574
Covid_PT135_CD4,Covid_PT135,CD4,131,7132,0.8847831281259508,0.00014021312394840157,0.0001710219038265248
Covid_PT135_CD8,Covid_PT135,CD8,132,20,0.7421653981363067,0.0,0.0
Covid_PT136_CD4,Covid_PT136,CD4,133,59702,0.8954392623934708,0.0007202438779270376,0.0004411152494609409
Covid_PT136_CD8,Covid_PT136,CD8,134,744,0.8355457703827904,0.004032258064516129,0.007438128296443188
Covid_PT137_CD4,Covid_PT137,CD4,135,24,0.8335026748927848,0.0,0.0
Covid_PT137_CD8,Covid_PT137,CD8,136,9171,0.8657852626199698,0.0006542361792607131,0.00024179751149102236
Covid_PT140_CD4,Covid_PT140,CD4,137,14172,0.9515882806695931,0.0002822466836014677,0.0005725533001533059
Covid_PT140_CD8,Covid_PT140,CD8,138,8471,0.8032820236902257,0.000590249085113918,0.00011895277298278284
Covid_PT143_CD4,Covid_PT143,CD4,139,90565,0.8573591406464207,0.0004968806934246121,0.00023615469265517337
Covid_PT143_CD8,Covid_PT143,CD8,140,511,0.8236266745458476,0.0,0.0
Covid_PT144_CD4,Covid_PT144,CD4,141,448,0.8073606507811814,0.002232142857142857,2.959460440497415e-05
Covid_PT144_CD8,Covid_PT144,CD8,142,199,0.8274743244937817,0.0,0.0
Covid_PT145_CD4,Covid_PT145,CD4,143,126501,0.9662641041466284,0.0006324060679362218,0.0005663245809306094
Covid_PT145_CD8,Covid_PT145,CD8,144,23374,0.7535398770884887,0.0010695644733464532,0.0008189857699760336
Covid_PT147_CD4,Covid_PT147,CD4,145,2417,0.7865057842123374,0.0,0.0
Covid_PT147_CD8,Covid_PT147,CD8,146,648,0.7975099129318217,0.0015432098765432098,0.00017323093801668645
Covid_PT159_CD4,Covid_PT159,CD4,147,171038,0.9472449845625117,0.0007951449385516668,0.0006987402635245724
Covid_PT159_CD8,Covid_PT159,CD8,148,4173,0.8425760787469763,0.000958543014617781,0.00020866545918921012
ERC_CO003_CD4,ERC_CO003,CD4,149,791,0.8565459244182186,0.0012642225031605564,0.000756429652042326
ERC_CO003_CD8,ERC_CO003,CD8,150,640,0.8356467041036606,0.0,0.0
ERC_CO037_CD4,ERC_CO037,CD4,151,2671,0.8620576972383974,0.0,0.0
ERC_CO037_CD8,ERC_CO037,CD8,152,540,0.8218902135402113,0.0,0.0
ERC_CO038_CD4,ERC_CO038,CD4,153,90720,0.9232803402185704,0.000925925925925926,0.0006981718923926989
ERC_CO038_CD8,ERC_CO038,CD8,154,912,0.858448941312878,0.0010964912280701754,0.00016344375103572535
ERC_CO050_CD4,ERC_CO050,CD4,155,77373,0.8456190768676441,0.0007883887144094193,0.0008487861622762409
ERC_CO050_CD8,ERC_CO050,CD8,156,1492,0.8094068242674131,0.0013404825737265416,0.00022041718037523446
ERC_CO068_CD4,ERC_CO068,CD4,157,4269,0.821385209721187,0.00046849379245724994,0.0005116104699734238
ERC_CO068_CD8,ERC_CO068,CD8,158,20167,0.8391919090728787,0.00163633658947786,0.0008067971038804594
ERC_CO080_CD4,ERC_CO080,CD4,159,5154,0.8313469062025729,0.0007760962359332557,0.0006198978679497631
ERC_CO080_CD8,ERC_CO080,CD8,160,4382,0.7980956441163269,0.0011410314924691922,0.00027208719991209226
ERC_CO111_CD4,ERC_CO111,CD4,161,70594,0.9548976981693247,0.0012323993540527523,0.0014648839184218593
ERC_CO111_CD8,ERC_CO111,CD8,162,1300,0.782842787982291,0.002307692307692308,0.0006409895258559987
ERC_CO160_CD4,ERC_CO160,CD4,163,5920,0.7182917490367073,0.00016891891891891893,0.00017683597989027206
ERC_CO160_CD8,ERC_CO160,CD8,164,376,0.7042313316150524,0.0,0.0
ERC_CO170_CD4,ERC_CO170,CD4,165,1231,0.7167990384166602,0.0,0.0
ERC_CO170_CD8,ERC_CO170,CD8,166,4184,0.5823109718748944,0.0002390057361376673,5.230907103027845e-05
ERC_CO172_CD4,ERC_CO172,CD4,167,49044,0.6214287199265566,0.000754424598319876,0.00037423827801773686
ERC_CO172_CD8,ERC_CO172,CD8,168,47466,0.6073652736690147,0.0012429949858846331,0.0007664300587668885
ERC_CO182_CD4,ERC_CO182,CD4,169,6398,0.9406676796230407,0.00015629884338855892,0.00017829631468413085
ERC_CO182_CD8,ERC_CO182,CD8,170,9840,0.8293720214472706,0.0011178861788617887,0.00030406418557726183
ERC_CO217_CD4,ERC_CO217,CD4,171,178,0.8298829161514866,0.0,0.0
ERC_CO217_CD8,ERC_CO217,CD8,172,350,0.8371055765345945,0.0,0.0
ERC_CO228_CD4,ERC_CO228,CD4,173,44639,0.9184718653014351,0.0004928425815990501,0.0006899711046408392
ERC_CO228_CD8,ERC_CO228,CD8,174,155,0.8179408470627894,0.0,0.0
ERC_CO229_CD4,ERC_CO229,CD4,175,43951,0.9425538101222654,0.0007963413801733749,0.0006946995826227519
